,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
890,MexicoRael,,"NO TEMAS A LA MUERTE. PRONTO SEREMOS ETERNOS GRACIAS A LA CLONACIÓN. ""Algún día será posible clonar a seres humanos y accederasí a la vida eterna. Algún día viajaremos más rápido quela luz. Algún día seremos capaces de controlar el envejecimiento…"" La Humanidad está en el … https://t.co/jE0sRzNu9u",False,Mexico,"NO TEMAS A LA MUERTE PRONTO SEREMOS ETERNOS GRACIAS A LA CLONACIÓN Algún día será posible clonar a seres humanos y accederasí a la vida eterna Algún día viajaremos más rápido quela luz Algún día seremos capaces de controlar el envejecimiento… La Humanidad está en el …",0.8735
891,elena costas,Manuj Hidalgo,"RT @Manuj_Hidalgo: A ver chicas y chicos, los tipos de interés reales están relacionados con la productividad a largo plazo, y está a su ve…",True,"Barcelona, España",A ver chicas y chicos los tipos de interés reales están relacionados con la productividad a largo plazo y está a su ve…,0.4588
892,Tuitores,,"🌀 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/KCjIMO8Lbs",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
893,NeoInformes,,🌀 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/XICzfgefOl,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
894,Esgardo  Rangel,,Daniel Esgardo Rangel Baron: Descubren que un medicamento para la diabetes tiene implicaciones amplias para el envejecimiento saludable - El Universo https://t.co/gUR4lEEMum https://t.co/dst1NquZ7A,False,,Daniel Esgardo Rangel Baron Descubren que un medicamento para la diabetes tiene implicaciones amplias para el envejecimiento saludable  El Universo,0.4019
895,homerodeluna1,,¡Confirmado! Beber una o dos bebidas alcohólicas puede retrasar envejecimiento https://t.co/4a4uZhA3GO https://t.co/BbsIQCJc8C,False,"Juárez, Chihuahua",¡Confirmado Beber una o dos bebidas alcohólicas puede retrasar envejecimiento,-0.3182
896,darkmonstr,,Así se logró el envejecimiento en The Irishman https://t.co/yWu6TB4CyL https://t.co/X7BQLH42yd,False,Ciudad de México,Así se logró el envejecimiento en The Irishman,0.0
897,VersusMex,,"Así se logró el envejecimiento en The Irishman https://t.co/kiuD4DPW9E Si has encontrado tres horas y media libres para ver The Irishman, es probable que hayas notado que una tecnología de envejecimiento, especialmente Robert De Niro, que hace que se vean mayores en momentos c... https://t.co/mjONxuIh2i",False,México,Así se logró el envejecimiento en The Irishman  Si has encontrado tres horas y media libres para ver The Irishman es probable que hayas notado que una tecnología de envejecimiento especialmente Robert De Niro que hace que se vean mayores en momentos c,0.5106
898,elindepcom,FundlaCaixa,". @FundlaCaixa ha concedido este año a 45 proyectos que pretenden dar respuesta a retos sociales derivados del envejecimiento demográfico, el aislamiento de la población, el paro o las presiones migratorias

https://t.co/teM7rUEBdg",False,"Madrid, Comunidad de Madrid",ha concedido este año a 45 proyectos que pretenden dar respuesta a retos sociales derivados del envejecimiento demográfico el aislamiento de la población el paro o las presiones migratorias,-0.4019
899,RotaDatos,,"🔷 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/Hu0istRoik",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
900,asdrubal1963,MedlinePlusEsp,"RT @MedlinePlusEsp: A menudo, la pérdida lenta de la audición por el envejecimiento es causada por cambios en el oído interno. Sin embargo,…",True,"Dosquebradas, Colombia",A menudo la pérdida lenta de la audición por el envejecimiento es causada por cambios en el oído interno Sin embargo…,-0.3182
901,MexicoRael,,"NO TEMAS A LA MUERTE. PRONTO SEREMOS ETERNOS GRACIAS A LA CLONACIÓN. ""Algún día será posible clonar a seres humanos y accederasí a la vida eterna. Algún día viajaremos más rápido quela luz. Algún día seremos capaces de controlar el envejecimiento…""… https://t.co/fmbGFupG1n https://t.co/uMX2q2wf4C",False,Mexico,"NO TEMAS A LA MUERTE PRONTO SEREMOS ETERNOS GRACIAS A LA CLONACIÓN Algún día será posible clonar a seres humanos y accederasí a la vida eterna Algún día viajaremos más rápido quela luz Algún día seremos capaces de controlar el envejecimiento……",0.8735
902,SenamaAtacama,"Int Atacama, UrquietaAtacama",RT @Int_Atacama: Int.@UrquietaAtacama compartió hoy con +de 100 adultos mayores y les contó las iniciativas que está impulsando el Pdte.@se…,True,,Int compartió hoy con de 100 adultos mayores y les contó las iniciativas que está impulsando el Pdte…,0.34
